"Date","Adjusted","logprice","logret"
2019-05-13,23.90266,3.17398974981554,-0.00617755390666064
2019-05-14,24.060034,3.18055212367937,0.00656237386383118
2019-05-15,24.11558,3.18285810465198,0.00230598097261581
2019-05-16,24.282215,3.18974418937795,0.00688608472596508
2019-05-17,24.235929,3.18783620155213,-0.00190798782582036
2019-05-21,24.300726,3.19050622644342,0.00267002489129098
2019-05-22,24.134094,3.18362552956385,-0.00688069687956405
2019-05-23,23.874887,3.1728271533713,-0.0107983761925534
2019-05-24,23.995235,3.17785526896927,0.00502811559797278
2019-05-27,24.143353,3.18400910411839,0.00615383514911416
2019-05-28,24.032261,3.17939713604206,-0.0046119680763308
2019-05-29,23.837858,3.1712749891672,-0.00812214687485868
2019-05-30,23.791574,3.16933148437929,-0.0019435047879095
2019-05-31,23.736029,3.16699410476061,-0.00233737961867941
2019-06-03,23.671221,3.16426000647937,-0.00273409828123627
2019-06-04,23.90266,3.17398974981554,0.0097297433361625
2019-06-05,23.976719,3.17708331788638,0.00309356807084127
2019-06-06,24.01375,3.17862658296052,0.00154326507413893
2019-06-07,24.069296,3.18093700334066,0.00231042038014451
2019-06-10,24.004494,3.17824106281885,-0.00269594052180722
2019-06-11,24.060034,3.18055212367937,0.00231106086051369
2019-06-12,24.023005,3.17901191290691,-0.00154021077245803
2019-06-13,24.050777,3.1801673037222,0.00115539081528748
2019-06-14,24.161869,3.18477572934606,0.00460842562386743
2019-06-17,24.226665,3.18745388606514,0.00267815671907856
2019-06-18,24.458105,3.1969616538318,0.00950776776666196
2019-06-19,24.463703,3.19719050882524,0.000228854993439054
2019-06-20,24.557041,3.20099861556456,0.00380810673931986
2019-06-21,24.463703,3.19719050882524,-0.00380810673931986
2019-06-24,24.491707,3.19833457045416,0.00114406162891845
2019-06-25,24.277029,3.18953059461853,-0.00880397583562642
2019-06-26,24.183695,3.18567864575357,-0.00385194886496754
2019-06-27,24.20236,3.18645014906897,0.00077150331539988
2019-06-28,24.305029,3.19068328366684,0.00423313459786945
2019-07-02,24.435703,3.19604530051493,0.00536201684809789
2019-07-03,24.60371,3.20289724457531,0.00685194406037404
2019-07-04,24.622379,3.20365574484516,0.00075850026984936
2019-07-05,24.557041,3.20099861556456,-0.00265712928059525
2019-07-08,24.454369,3.19680889116405,-0.00418972440050958
2019-07-09,24.566376,3.20137867870685,0.00456978754279325
2019-07-10,24.60371,3.20289724457531,0.00151856586846222
2019-07-11,24.566376,3.20137867870685,-0.00151856586846222
2019-07-12,24.501041,3.19871560644393,-0.00266307226291262
2019-07-15,24.529043,3.19985784405644,0.00114223761250498
2019-07-16,24.510372,3.19909637490342,-0.000761469153014005
2019-07-17,24.48237,3.19795326668347,-0.00114310821995556
2019-07-18,24.510372,3.19909637490342,0.00114310821995556
2019-07-19,24.491707,3.19833457045416,-0.000761804449263437
2019-07-22,24.538378,3.2002383409288,0.00190377047463697
2019-07-23,24.622379,3.20365574484516,0.0034174039163597
2019-07-24,24.697048,3.2066837223215,0.00302797747634553
2019-07-25,24.501041,3.19871560644393,-0.00796811587756974
2019-07-26,24.575708,3.20175847538426,0.00304286894032568
2019-07-29,24.519709,3.19947724313462,-0.00228123224964127
2019-07-30,24.491707,3.19833457045416,-0.00114267268045687
2019-07-31,24.398367,3.19451620382999,-0.00381836662417312
2019-08-01,24.370367,3.19336792702311,-0.00114827680688201
2019-08-02,24.20236,3.18645014906897,-0.00691777795413895
2019-08-06,24.015686,3.17870720018871,-0.00774294888025651
2019-08-07,24.193026,3.1860644098121,0.00735720962338871
2019-08-08,24.389032,3.19413352304334,0.00806911323124027
2019-08-09,24.295694,3.19029913299835,-0.00383439004499397
2019-08-12,24.155695,3.18452017010332,-0.00577896289502888
2019-08-13,24.314363,3.1910672456923,0.00654707558898782
2019-08-14,23.885014,3.17325123298368,-0.0178160127086211
2019-08-15,23.838341,3.17129525084955,-0.00195598213413062
2019-08-16,24.043684,3.1798723425186,0.00857709166904685
2019-08-19,24.277029,3.18953059461853,0.00965825209993509
2019-08-20,24.146358,3.18413356127258,-0.00539703334595654
2019-08-21,24.258362,3.18876138268737,0.00462782141479412
2019-08-22,24.20236,3.18645014906897,-0.00231123361840524
2019-08-23,23.894348,3.17364194561475,-0.0128082034542216
2019-08-26,24.00635,3.17831837868528,0.00467643307053622
2019-08-27,24.10902,3.18258604433254,0.00426766564725911
2019-08-28,24.239698,3.18799170237763,0.00540565804508741
2019-08-29,24.426369,3.19566324548814,0.0076715431105141
2019-08-30,24.510372,3.19909637490342,0.00343312941528229
2019-09-03,24.435703,3.19604530051493,-0.00305107438849017
2019-09-04,24.529043,3.19985784405644,0.00381254354150418
2019-09-05,24.715715,3.20743927614018,0.00758143208374218
